,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
168,600658.SH,20240221,3.46,3.69,3.44,3.57,3.5,0.07,2.0,135110.83,48517.377
169,688766.SH,20240221,77.0,80.92,76.1,77.23,79.7,-2.47,-3.0991,15769.6,123182.209
170,002370.SZ,20240221,3.3,3.4,3.26,3.32,3.31,0.01,0.3021,149597.18,50006.263
171,000970.SZ,20240221,8.85,9.17,8.82,8.92,8.92,0.0,0.0,184540.65,166428.206
172,000009.SZ,20240221,11.87,12.06,11.76,11.79,11.96,-0.17,-1.4214,338252.44,402309.58
173,600307.SH,20240221,1.37,1.42,1.36,1.4,1.38,0.02,1.4493,449776.1,62716.432
174,603915.SH,20240221,12.57,13.54,12.4,12.93,12.54,0.39,3.11,58134.6,75640.465
175,688313.SH,20240221,8.65,9.29,8.54,8.95,8.95,0.0,0.0,196781.83,177150.601
176,002641.SZ,20240221,4.54,4.77,4.46,4.61,4.58,0.03,0.655,355229.44,164952.832
177,600610.SH,20240221,4.99,5.39,4.88,5.19,4.99,0.2,4.008,387568.45,200725.541
178,000523.SZ,20240221,2.92,3.01,2.87,2.97,2.94,0.03,1.0204,260512.65,77132.958
179,600697.SH,20240221,10.0,10.5,9.95,10.37,10.07,0.3,2.9791,41874.33,43275.766
180,600012.SH,20240221,14.27,14.43,13.81,14.09,14.43,-0.34,-2.3562,92594.62,130149.842
181,603856.SH,20240221,10.28,10.72,10.23,10.51,10.36,0.15,1.4479,26601.95,28040.085
182,603040.SH,20240221,19.75,21.79,19.5,21.15,19.81,1.34,6.7643,41897.69,88685.84
183,600315.SH,20240221,18.4,19.05,18.26,18.68,18.5,0.18,0.973,63419.54,118914.583
184,600536.SH,20240221,28.4,30.18,28.28,28.9,28.75,0.15,0.5217,271037.59,791551.285
185,002645.SZ,20240221,7.39,7.71,7.26,7.44,7.36,0.08,1.087,88280.0,66396.286
186,002760.SZ,20240221,14.15,15.25,13.88,14.85,14.22,0.63,4.4304,20561.93,30450.26
187,002800.SZ,20240221,11.74,12.28,11.55,12.08,11.85,0.23,1.9409,17839.8,21396.671
188,603333.SH,20240221,4.03,4.35,4.01,4.16,4.1,0.06,1.4634,304217.91,127640.002
189,688007.SH,20240221,18.77,19.65,18.54,19.02,18.81,0.21,1.1164,57017.47,109605.507
190,836433.BJ,20240221,5.3,5.77,5.3,5.63,5.77,-0.14,-2.4263,170898.66,94646.957
191,600187.SH,20240221,2.31,2.38,2.3,2.35,2.33,0.02,0.8584,225590.0,53064.617
192,688227.SH,20240221,12.11,12.92,12.11,12.51,12.25,0.26,2.1224,15736.27,19886.458
193,603389.SH,20240221,3.66,4.06,3.65,4.06,3.69,0.37,10.0271,109779.4,42760.856
194,600593.SH,20240221,17.08,18.12,16.83,17.68,17.3,0.38,2.1965,64166.28,113269.796
195,600865.SH,20240221,6.32,6.67,6.29,6.61,6.36,0.25,3.9308,25989.51,17073.615
196,600807.SH,20240221,2.43,2.55,2.4,2.49,2.42,0.07,2.8926,180574.53,45008.759
197,600071.SH,20240221,17.05,17.89,16.9,17.38,17.24,0.14,0.8121,59808.92,104988.393
198,600055.SH,20240221,13.88,14.85,13.83,14.34,14.0,0.34,2.4286,70036.99,100857.167
199,000021.SZ,20240221,12.93,13.38,12.81,13.02,13.18,-0.16,-1.214,448964.26,588859.875
200,603235.SH,20240221,22.23,22.68,22.01,22.37,22.17,0.2,0.9021,5923.19,13301.955
201,002201.SZ,20240221,5.21,5.59,5.17,5.38,5.26,0.12,2.2814,145544.54,78805.709
202,601886.SH,20240221,6.01,6.26,5.94,6.09,6.04,0.05,0.8278,121984.83,74743.208
203,600058.SH,20240221,8.38,8.74,8.34,8.51,8.46,0.05,0.591,47519.0,40715.079
204,002171.SZ,20240221,6.49,6.75,6.4,6.58,6.5,0.08,1.2308,155160.71,102394.286
205,839719.BJ,20240221,11.36,11.83,11.22,11.5,11.43,0.07,0.6124,17097.81,19736.253
206,603993.SH,20240221,5.99,6.12,5.98,6.0,6.03,-0.03,-0.4975,977172.22,592314.308
207,605111.SH,20240221,30.81,32.41,30.61,31.21,31.52,-0.31,-0.9835,120129.97,379656.593
208,000656.SZ,20240221,1.61,1.67,1.55,1.59,1.61,-0.02,-1.2422,3273346.36,527360.601
209,300105.SZ,20240221,4.75,5.01,4.74,4.89,4.8,0.09,1.875,91657.0,44966.15
210,688130.SH,20240221,31.38,31.7,30.3,31.39,30.73,0.66,2.1477,2646.72,8297.339
211,300170.SZ,20240221,6.2,6.78,6.11,6.38,6.26,0.12,1.9169,423126.09,274180.554
212,688656.SH,20240221,23.53,25.0,22.86,24.13,23.41,0.72,3.0756,6968.65,16969.133
213,002498.SZ,20240221,3.64,3.75,3.6,3.68,3.67,0.01,0.2725,251654.32,92799.946
214,600278.SH,20240221,5.79,6.05,5.72,5.87,5.84,0.03,0.5137,96582.48,57237.069
215,002137.SZ,20240221,4.61,4.92,4.56,4.73,4.65,0.08,1.7204,230177.69,110189.669
216,600375.SH,20240221,3.63,4.02,3.63,4.02,3.65,0.37,10.137,242748.42,94376.086
217,688222.SH,20240221,11.47,12.1,11.4,11.69,11.58,0.11,0.9499,47121.7,55485.509
218,002427.SZ,20240221,3.4,3.78,3.36,3.78,3.44,0.34,9.8837,157943.99,57038.543
219,603638.SH,20240221,15.64,16.2,15.42,15.68,15.69,-0.01,-0.0637,32917.5,52394.695
220,600538.SH,20240221,3.81,4.05,3.77,3.9,3.81,0.09,2.3622,69974.99,27305.477
221,688622.SH,20240221,19.61,20.8,19.43,19.99,19.72,0.27,1.3692,9686.8,19570.504
222,600456.SH,20240221,25.58,26.8,25.32,26.16,25.69,0.47,1.8295,56650.42,148943.029
223,688552.SH,20240221,17.23,18.09,17.2,17.72,17.4,0.32,1.8391,21164.65,37669.357
224,688320.SH,20240221,28.55,30.66,27.71,28.78,28.79,-0.01,-0.0347,34148.55,99962.815
225,601702.SH,20240221,15.88,16.17,15.55,15.61,15.88,-0.27,-1.7003,52753.55,83764.509
226,000950.SZ,20240221,4.93,5.1,4.93,5.01,4.99,0.02,0.4008,304274.22,153128.956
227,300004.SZ,20240221,4.15,4.41,4.11,4.28,4.15,0.13,3.1325,80208.19,34430.696
228,000400.SZ,20240221,22.2,22.4,21.85,21.88,22.39,-0.51,-2.2778,163351.86,360635.99
229,002531.SZ,20240221,9.74,10.13,9.67,9.78,9.84,-0.06,-0.6098,208144.15,205938.309
230,001380.SZ,20240221,23.25,25.16,23.05,24.15,23.5,0.65,2.766,24219.85,58774.975
231,600664.SH,20240221,2.84,2.93,2.8,2.87,2.85,0.02,0.7018,384920.13,110717.754
232,688091.SH,20240221,45.56,48.05,45.03,46.18,45.55,0.63,1.3831,20926.72,97649.117
233,688132.SH,20240221,14.38,15.61,14.2,15.0,14.5,0.5,3.4483,15581.51,23432.375
234,002345.SZ,20240221,6.48,6.57,6.39,6.4,6.5,-0.1,-1.5385,76351.0,49500.113
235,688303.SH,20240221,27.97,28.95,27.69,28.52,27.97,0.55,1.9664,57391.52,163266.648
236,603097.SH,20240221,18.34,19.35,18.0,18.72,18.48,0.24,1.2987,74957.84,141145.048
237,605358.SH,20240221,21.73,22.73,21.5,22.03,21.93,0.1,0.456,87131.75,193357.608
238,603927.SH,20240221,25.88,27.0,25.75,26.28,26.28,0.0,0.0,98854.29,261524.89
239,600724.SH,20240221,3.64,3.82,3.62,3.72,3.67,0.05,1.3624,117652.37,44108.832
240,688677.SH,20240221,53.05,55.6,52.0,55.2,53.95,1.25,2.317,15072.12,81779.235
241,601005.SH,20240221,1.3,1.35,1.29,1.33,1.31,0.02,1.5267,882293.74,116795.73
242,603583.SH,20240221,16.17,16.82,15.92,16.37,16.18,0.19,1.1743,42883.3,70793.961
243,000737.SZ,20240221,4.96,5.18,4.91,5.02,4.99,0.03,0.6012,100808.6,51078.48
244,603811.SH,20240221,7.49,7.72,7.41,7.52,7.6,-0.08,-1.0526,99281.22,75281.105
245,688148.SH,20240221,4.57,4.98,4.48,4.83,4.58,0.25,5.4585,137832.18,66199.12
246,002537.SZ,20240221,5.23,5.48,5.2,5.32,5.29,0.03,0.5671,196617.14,105888.558
247,603828.SH,20240221,2.24,2.48,2.22,2.48,2.25,0.23,10.2222,214737.2,50678.758
248,600512.SH,20240221,2.13,2.21,2.12,2.17,2.14,0.03,1.4019,210621.62,45775.981
249,002343.SZ,20240221,4.6,4.95,4.5,4.77,4.68,0.09,1.9231,269030.63,128130.993
250,600733.SH,20240221,4.38,4.78,4.34,4.65,4.44,0.21,4.7297,1797860.68,832238.839
251,600895.SH,20240221,17.6,18.95,17.57,18.18,17.99,0.19,1.0561,700941.49,1276857.148
252,688118.SH,20240221,17.47,19.08,17.03,17.84,17.8,0.04,0.2247,46035.71,83061.558
253,603336.SH,20240221,3.58,3.77,3.55,3.7,3.59,0.11,3.0641,154642.95,57073.056
254,833873.BJ,20240221,3.47,3.65,3.41,3.49,3.53,-0.04,-1.1331,66609.14,23645.421
255,600302.SH,20240221,3.52,3.92,3.52,3.92,3.56,0.36,10.1124,110211.97,41459.879
256,601818.SH,20240221,3.24,3.33,3.23,3.29,3.24,0.05,1.5432,2345871.85,772075.595
257,002255.SZ,20240221,4.33,4.55,4.3,4.43,4.36,0.07,1.6055,174430.7,77829.356
258,871642.BJ,20240221,8.77,9.35,8.63,8.87,8.78,0.09,1.0251,54601.51,49893.387
259,002403.SZ,20240221,5.94,6.39,5.91,6.21,6.02,0.19,3.1561,137376.6,85896.795
260,835670.BJ,20240221,12.75,13.95,12.31,13.4,13.23,0.17,1.285,66202.64,87116.816
261,002973.SZ,20240221,8.3,8.78,8.17,8.51,8.32,0.19,2.2837,42162.91,36190.768
262,300188.SZ,20240221,13.01,13.65,12.77,13.0,12.72,0.28,2.2013,334995.03,443080.638
263,000877.SZ,20240221,6.77,6.97,6.74,6.9,6.81,0.09,1.3216,141611.73,97482.312
264,002901.SZ,20240221,29.38,30.7,29.03,29.58,29.37,0.21,0.715,16892.84,50791.64
265,603103.SH,20240221,14.3,14.84,14.22,14.46,14.55,-0.09,-0.6186,62986.88,91358.676
